"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,
Population (number of persons) 1/,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
19460,"Decatur, AL (Metropolitan Statistical Area)",146552,146464,147386,147324,148399,149519,150690,151890,153269,153916,154040,153911,153222,153034,152520,152256
19500,"Decatur, IL (Metropolitan Statistical Area)",113604,112564,111572,111181,111083,110808,110751,110588,110732,110779,110624,110083,109533,108479,107377,106550
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",505047,516153,529021,546232,563305,579087,589451,590912,589388,590727,591935,595884,601295,610384,623378,637674
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)*",2218759,2266781,2284876,2304818,2332749,2374194,2418686,2463971,2509417,2554864,2600899,2647830,2698125,2752433,2808816,2853077
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",489761,496276,503406,511257,521578,532738,543590,553644,562601,571994,580851,589499,600073,611900,622580,634725
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4461855,4456433,4453371,4445887,4431048,4409697,4377116,4339504,4311728,4291373,4287293,4293573,4295413,4299512,4297538,4297617
20020,"Dothan, AL (Metropolitan Statistical Area)",131413,131967,133586,135057,136643,139070,141157,142958,144396,145894,146728,147631,147556,148021,148171,147834
20100,"Dover, DE (Metropolitan Statistical Area)",129228,131824,134605,139342,144585,149704,153969,157925,160081,162990,165258,167605,169457,171949,173533,174827
20220,"Dubuque, IA (Metropolitan Statistical Area)",88932,89132,90012,90462,90769,91258,92130,92519,92948,93926,94564,95211,95964,96582,97034,97003
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",276946,276852,277209,277087,276682,276710,277209,278561,279465,279743,279775,279468,279708,279917,279381,279227
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",435229,441780,446402,451323,458287,468238,478699,489919,499753,508147,515990,525158,533470,542595,551237,559535
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",143775,148833,154027,158181,162045,165185,167352,168576,169390,169910,169868,168567,167271,167197,166499,166098
20740,"Eau Claire, WI (Metropolitan Statistical Area)",149655,150846,151816,153419,154809,156167,157654,158700,160271,161662,162842,163924,164964,165151,165654,166614
20940,"El Centro, CA (Metropolitan Statistical Area)",143707,145640,148984,152259,156113,160505,164596,167917,172008,174751,176227,177287,177194,178866,179806,180883
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",135657,136591,136333,138230,140177,140870,141844,142988,143829,149945,151386,150567,151648,151970,148532,149538
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",184708,184543,187149,189316,192242,195047,196304,197762,197514,197473,198495,199172,200354,201609,203284,203781
21300,"Elmira, NY (Metropolitan Statistical Area)",90780,90613,90154,89777,88860,88732,88634,88503,88849,88972,88988,89264,88498,87506,87120,86322
21340,"El Paso, TX (Metropolitan Statistical Area)",692568,699844,708545,720997,731511,748254,759040,773304,790182,807108,822888,834204,834549,837433,837208,841971
21420,"Enid, OK (Metropolitan Statistical Area)",57279,57249,57230,57459,57358,57723,58153,58845,59989,60758,60706,61278,62326,62839,63360,62603
21500,"Erie, PA (Metropolitan Statistical Area)",280647,280379,280153,277864,277211,278389,278573,278686,279838,280771,281197,281541,280613,279251,278052,276207
21660,"Eugene, OR (Metropolitan Statistical Area)",324855,327506,330845,332327,335831,339926,344844,348176,350850,351976,353641,354993,355812,358442,362600,369519
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",297027,298383,300628,302310,303844,305549,307468,308614,310170,311815,312666,313561,314590,315227,315713,315948
21820,"Fairbanks, AK (Metropolitan Statistical Area)*",84814,86095,86885,89043,90431,90545,93545,94552,95238,98293,98100,100330,100879,99295,99639,100605
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",177033,178891,181539,186448,189303,193412,197121,201346,206223,209416,212875,217250,223834,228422,233642,238124
22140,"Farmington, NM (Metropolitan Statistical Area)",115745,119430,121553,123179,124809,125028,126149,126905,129359,130135,127991,128331,126518,124055,118701,115079
22180,"Fayetteville, NC (Metropolitan Statistical Area)",339038,341482,339823,345748,343493,348725,350780,355712,362658,367528,373288,373867,377785,378009,378422,380389
22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",358350,367634,379457,392694,407987,424016,436539,446592,455143,465345,475177,484290,493045,502392,513449,525032
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",118283,121308,122882,125117,127025,128695,130442,131853,133477,134624,134186,135999,136641,137695,139076,140908
22420,"Flint, MI (Metropolitan Statistical Area)",438584,440062,441689,442534,442508,441164,438109,433082,427989,425056,421773,418029,415553,412813,410442,408615
22500,"Florence, SC (Metropolitan Statistical Area)",194240,195590,197053,198010,199167,200913,202246,203805,204825,205680,205736,206153,206146,206702,206341,205976
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",142584,142163,142382,143112,143717,144707,145593,146675,146952,147268,147053,147187,147169,147432,146772,146534
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",97856,98097,98470,98929,99297,99920,100520,101122,101370,101709,101902,101865,101868,102018,101943,102144
